0,2.3189,2.5708,0.9706,0.7509
0.1152245,-0.2317,-0.0444,0.0922,-0.1895
0.3531888,-0.2809,-0.1386,0.1128,-0.212
0.4,-0.282,-0.1377,0.1132,-0.2098
0.5139836,-0.2836,-0.1384,0.1134,-0.2087
0.6246483,-0.2854,-0.1388,0.1135,-0.2071
0.7306979,-0.2856,-0.1384,0.1142,-0.2059
0.8,-0.2847,-0.1386,0.115,-0.2061
0.9187298,-0.2845,-0.1393,0.1154,-0.2065
1.028431,-0.2506,-0.1569,0.0969,-0.187
1.177094,3.0758,-0.2351,0.0431,-0.1319
1.2,4.0863,-0.2459,0.0352,-0.122
1.312069,11.3261,-0.3053,-0.0068,-0.0832
1.420049,22.3303,-0.3607,-0.0456,-0.0449
1.537384,38.7259,-0.419,-0.087,-0.003
1.6,48.9185,-0.4522,-0.1101,0.0158
1.791079,80.0419,-0.5418,-0.1748,0.087
1.895551,91.3324,-0.5931,-0.2112,0.1242
1.997978,94.2944,-0.644,-0.2476,0.1611
2,94.2604,-0.645,-0.2484,0.1617
2.173024,78.8969,-0.7332,-0.3116,0.2283
2.284712,59.8614,-0.7882,-0.3552,0.274
2.4,39.0919,-0.8464,-0.4007,0.3205
2.535271,19.9075,-0.9132,-0.453,0.3766
2.642225,10.6169,-0.9625,-0.4941,0.4225
2.764305,5.0853,-1.0256,-0.539,0.4664
2.8,4.1962,-1.0374,-0.5543,0.4838
2.921798,3.0242,-1.0948,-0.5959,0.5428
3.051667,2.3612,-1.1428,-0.6451,0.5914
3.2,1.3495,2.9463,-0.5863,0.5192
3.313795,1.2697,11.3904,-0.5502,0.4831
3.421212,1.1973,23.8917,-0.5179,0.4495
3.528434,1.1258,40.4861,-0.4857,0.4158
3.6,1.0725,53.0708,-0.4695,0.3918
3.738359,0.9892,76.7599,-0.4252,0.3491
3.859628,0.9095,90.2842,-0.3891,0.3109
3.961787,0.8409,91.8246,-0.3576,0.2782
4,0.8152,89.7689,-0.3455,0.2649
4.112073,0.7389,76.4263,-0.3087,0.2258
4.4,0.5385,24.561,-0.207,0.1237
4.623526,0.3887,4.4898,-0.1311,0.0438
4.75218,0.3064,1.1169,-0.0893,-0.0019
4.8,0.2745,0.8128,-0.0732,-0.0165
4.902064,0.2089,0.6735,-0.0397,-0.0538
5.017651,0.1303,0.5182,-0.0053,-0.0931
5.118988,-0.0309,0.187,0.0663,-0.1846
5.2,-0.2197,-0.1792,0.1656,-0.2556
5.30032,-0.2014,-0.1835,0.1245,-0.3175
5.408021,-0.2084,-0.1812,0.1203,-0.3111
5.514872,-0.213,-0.1724,0.1172,-0.2996
5.6,-0.246,-0.1536,0.1281,-0.238
5.701105,-0.2545,-0.1448,0.11,-0.2404
5.814233,-0.2326,-0.153,0.1107,-0.2713
5.915416,-0.2386,-0.1532,0.1008,-0.2775
6,-0.2703,-0.1308,0.0685,-0.2571
6.104356,-0.2355,-0.144,0.1235,-0.2455
6.206293,-0.1964,-0.1808,0.1489,-0.2911
6.306603,-0.1851,-0.218,0.221,-0.266
6.4,-0.1304,-0.2701,1.4761,0.8844
6.510862,-0.1834,-0.176,0.176,-0.2765
6.621467,-0.1607,-0.2403,0.2396,-0.297
6.722865,-0.1264,-0.2131,0.2413,-0.3015
6.8,-0.1048,-0.2924,0.2839,-0.3551
6.918375,-0.0749,-0.3104,0.2985,-0.3857
7.032452,-0.0532,-0.3444,0.3248,-0.4127
7.141322,-0.0496,-0.3472,0.3285,-0.4152
7.2,-0.0492,-0.348,0.3288,-0.4159
7.307709,-0.0469,-0.3499,0.3311,-0.4177
7.409451,-0.0453,-0.3515,0.3326,-0.4193
7.511199,-0.0437,-0.3531,0.3342,-0.4208
7.6,-0.0432,-0.3541,0.3345,-0.4219
7.713785,-0.0404,-0.3563,0.3373,-0.424
7.815547,-0.0388,-0.358,0.3389,-0.4255
7.917276,-0.0371,-0.3596,0.3404,-0.4271
8,-0.0376,-0.36,0.3397,-0.4278
8.12632,-0.0346,-0.3628,0.3434,-0.4296
8.228661,-0.0291,-0.3657,0.349,-0.432
8.340385,-0.0193,-0.3685,0.3576,-0.4356
8.4,-0.0174,-0.3713,0.3604,-0.4372
8.512148,-0.0154,-0.3743,0.3673,-0.4352
8.617243,-0.012,-0.3779,0.3726,-0.4366
8.721862,-0.0088,-0.3833,0.3769,-0.4405
8.8,-0.0055,-0.3878,0.3803,-0.4446
8.906141,-0.0019,-0.3929,0.3847,-0.4487
9.033687,0.0002,-0.3975,0.3886,-0.4511
9.161206,0.0036,-0.4009,0.3919,-0.4543
9.2,0.0063,-0.4022,0.3945,-0.4556
9.301177,0.0071,-0.4043,0.3951,-0.4578
9.413711,0.0109,-0.4079,0.3988,-0.4611
9.520401,0.0139,-0.4109,0.4017,-0.464
9.6,0.0156,-0.4129,0.4033,-0.466
9.709925,0.0188,-0.4159,0.4064,-0.4688
9.817019,0.0221,-0.419,0.4096,-0.4719
9.923885,0.0251,-0.422,0.4124,-0.4748
10,0.0242,-0.4233,0.4114,-0.4761
10.13039,-0.0256,-0.3575,1.0294,-0.5391
10.24721,-0.0872,-0.3018,2.9614,-0.5959
10.38128,-0.1481,-0.234,7.0347,-0.667
10.4,-0.1606,-0.2262,7.781,-0.6749
10.51524,-0.2171,-0.1685,13.4313,-0.7333
10.67325,-0.2964,-0.0881,24.3089,-0.813
10.79178,-0.3575,-0.0261,34.7844,-0.8726
10.8,-0.3659,-0.0233,35.5757,-0.8754
10.90193,-0.4177,0.0286,45.961,-0.9287
11.0237,-0.4776,0.0918,59.2166,-0.9911
11.13019,-0.5358,0.1452,70.68,-1.0417
11.2,-0.5684,0.1814,77.6137,-1.079
11.35415,-0.6472,0.2572,89.4801,-1.155
11.49889,-0.713,0.327,94.052,-1.2268
11.6,-0.7583,0.3733,92.6132,-1.2739
11.7201,-0.8097,0.4256,85.9687,-1.3321
11.88663,-0.8812,0.496,69.6325,-1.4064
12,-0.9278,0.543,55.789,-1.4538
12.10171,-0.9692,0.5863,43.0652,-1.5005
12.21091,-1.0122,0.6327,30.4277,-1.548
12.34025,-1.0662,0.6869,18.1956,-1.605
12.4,-1.0891,0.7127,13.7614,-1.632
12.5011,-1.1339,0.756,7.9528,-1.6746
12.60195,-1.1743,0.8004,3.9483,-1.7206
12.70989,-1.2221,0.8488,1.1054,-1.7685
12.8,-0.1694,0.6438,0.934,-1.5948
12.90833,0.5185,0.4508,0.8658,-1.432
13.04201,0.4153,0.3242,0.8046,-1.1464
13.14302,-0.7517,0.3101,0.7125,0.2558
13.2,-0.7438,0.2994,0.682,0.1935
13.30002,-0.724,0.2815,0.6337,0.0842
13.4005,-0.7065,0.2632,0.5834,-0.025
13.50786,-0.6878,0.2437,0.5297,-0.1418
13.6,-0.6691,0.2274,0.4864,-0.2412
13.70711,-0.6526,0.2078,0.4315,-0.3567
13.80745,-0.6346,0.19,0.3826,-0.4643
13.90775,-0.617,0.1723,0.3335,-0.5714
14,-0.6128,0.1684,0.3142,-0.6072
14.10262,-0.5934,0.1484,0.2696,-0.2238
14.20311,-0.5754,0.131,0.2216,1.1129
14.31019,-0.5566,0.1121,0.1699,3.6888
14.4,-0.5445,0.0959,0.1234,6.8922
14.50436,-0.5218,0.0782,0.077,11.9643
14.60473,-0.5033,0.0607,0.0293,18.3235
14.71167,-0.484,0.0418,-0.022,26.7247
14.8,-0.4681,0.0263,-0.0643,34.8392
14.90423,-0.4485,0.008,-0.1135,45.5171
15.00455,-0.4297,-0.0094,-0.1607,56.4715
15.11148,-0.4104,-0.028,-0.2114,68.1397
15.2,-0.3942,-0.0429,-0.2528,77.084
15.30487,-0.3756,-0.0605,-0.3016,85.8787
15.40529,-0.3578,-0.0767,-0.3473,91.5344
15.51235,-0.3397,-0.0937,-0.396,93.7505
15.6,-0.3269,-0.1075,-0.4365,92.3276
15.70212,-0.3082,-0.1225,-0.4799,87.052
15.80259,-0.2917,-0.1372,-0.5231,78.5405
15.90964,-0.2746,-0.1528,-0.5693,66.8022
16,-0.2669,-0.1668,-0.6135,55.6987
16.1005,-0.2439,-0.1802,-0.6497,43.1631
16.20785,-0.2267,-0.1953,-0.6949,30.7423
16.3151,-0.2093,-0.2105,-0.7399,20.3157
16.4,-0.1967,-0.2224,-0.7762,13.8032
16.50662,-0.1781,-0.2375,-0.8203,7.7632
16.61363,-0.1605,-0.2527,-0.8653,3.6767
16.72059,-0.1427,-0.2679,-0.9103,1.0174
16.8,-0.1797,-0.2282,-0.008,0.7296
16.90127,-0.2132,-0.2027,0.7734,0.6232
17.00732,-0.2374,-0.1821,0.9519,0.5471
17.11399,-0.2567,-0.1648,0.8606,0.4911
17.2,-0.2771,-0.1538,0.7858,0.4463
17.30373,-0.291,-0.1339,0.6993,0.3923
17.41142,-0.3103,-0.1164,0.6082,0.3366
17.51948,-0.3296,-0.0987,0.5172,0.281
17.6,-0.3414,-0.0839,0.4507,0.2401
17.70202,-0.3619,-0.0688,0.3642,0.1877
17.81105,-0.3811,-0.0509,0.2732,0.1323
17.91161,-0.3985,-0.034,0.1898,0.0819
18,-0.4207,-0.0242,0.1139,0.0367
18.10484,-0.4323,-0.0024,0.0298,-0.0153
18.21018,-0.4426,0.0027,-0.0215,-0.0518
18.31343,-0.4411,0.0004,-0.0194,-0.0533
18.4,-0.4389,-0.0003,-0.0172,-0.054
18.50051,-0.439,-0.0017,-0.0174,-0.0553
18.60348,-0.438,-0.0027,-0.0164,-0.0563
18.70644,-0.4369,-0.0037,-0.0154,-0.0573
18.8,-0.446,-0.0065,-0.0231,-0.0591
18.90427,-0.4347,-0.0059,-0.0133,-0.0595
19.00723,-0.4336,-0.0069,-0.0123,-0.0604
19.11018,-0.4326,-0.008,-0.0113,-0.0614
19.2,-0.4342,-0.0095,-0.012,-0.062
19.30179,-0.4307,-0.0098,-0.0095,-0.0632
19.40473,-0.4297,-0.0108,-0.0085,-0.0642
19.50767,-0.4287,-0.0119,-0.0075,-0.0652
19.6,-0.4244,-0.012,-0.0021,-0.064
19.70556,-0.4266,-0.0139,-0.0056,-0.0671
19.80849,-0.4256,-0.0149,-0.0046,-0.0681
19.91142,-0.4245,-0.0159,-0.0036,-0.0691
20,-0.4256,-0.0172,-0.0041,-0.0699
